BOYS UNDER 19,1935,Reliable Juniors of New Bedford,MA,Massachusetts
BOYS UNDER 19,1936,Hatikvoh Juniors of Brooklyn,NY,New York
BOYS UNDER 19,1937,Hatikvoh Juniors of Brooklyn,NY,New York
BOYS UNDER 19,1938,Lighthouse Boys' Club of Philadelphia,PA,Pennsylvania
BOYS UNDER 19,1939,Avella Juniors of Avella,PA,Pennsylvania
BOYS UNDER 19,1940,Avella Juniors of Avella,PA,Pennsylvania
BOYS UNDER 19,1941,Mercerville Juniors of Trenton,NJ,New Jersey
BOYS UNDER 19,1946,Schumacher Juniors of St. Louis,MO,Missouri
BOYS UNDER 19,1947,Heidelberg Juniors of Heidelberg,PA,Pennsylvania
BOYS UNDER 19,1948,Lighthouse Boys' Club of Philadelphia,PA,Pennsylvania
BOYS UNDER 19,1949,Lighthouse Boys' Club of Philadelphia,PA,Pennsylvania
BOYS UNDER 19,1950,Harrison Juniors of Harrison,NJ,New Jersey
BOYS UNDER 19,1951,Seco Juniors of St. Louis,MO,Missouri
BOYS UNDER 19,1952,Kollsman S.C. of Brooklyn,NJ,New Jersey
BOYS UNDER 19,1953,Newark Boys Club of Newark,NJ,New Jersey
BOYS UNDER 19,1954,Hansa S.C. of Chicago,IL,Illinois
BOYS UNDER 19,1955,Schwaben of Chicago,IL,Illinois
BOYS UNDER 19,1956,St. Engelbert of St. Louis,MO,Missouri
BOYS UNDER 19,1957,Lighthouse Boys' Club of Philadelphia,PA,Pennsylvania
BOYS UNDER 19,1958,St. Paul of St. Louis,MO,Missouri
BOYS UNDER 19,1959,Ukrainian of New York,NY,New York
BOYS UNDER 19,1960,St. Paul of St. Louis,MO,Missouri
BOYS UNDER 19,1961,Hakoah of San Francisco,CA,California
BOYS UNDER 19,1962,Schumacher Juniors of St. Louis,MO,Missouri
BOYS UNDER 19,1963,Kutis of St. Louis,MO,Missouri
BOYS UNDER 19,1964,Kutis of St. Louis,MO,Missouri
BOYS UNDER 19,1965,Im. Heart of Mary of St. Louis,MO,Missouri
BOYS UNDER 19,1966,St. Williams of St. Louis,MO,Missouri
BOYS UNDER 19,1967,Lighthouse Boys' Club of Philadelphia,PA,Pennsylvania
BOYS UNDER 19,1968,St. Philip Di Neri of St. Louis,MO,Missouri
BOYS UNDER 19,1969,St. Philip Di Neri of St. Louis,MO,Missouri
BOYS UNDER 19,1970,St. Bart's of St. Louis,MO,Missouri
BOYS UNDER 19,1971,Seco of St. Louis,MO,Missouri
BOYS UNDER 19,1972,Seco of St. Louis,MO,Missouri
BOYS UNDER 19,1973,St. Elizabeth S.C. of Baltimore,MD,Maryland
